time [min],Average Temperature [C]
51.00000000000001,99.85084152232264
51.25,99.92739214070633
51.5,100.05179055526276
51.75000000000001,100.18637036889419
52.0,100.29815423041742
52.25000000000001,100.40851031759564
52.5,100.61403146019256
52.75,101.04384685684295
53.00000000000001,101.53030248235143
53.25,101.85621660155579
53.50000000000001,102.15057773928521
53.75,102.5560838612991
54.0,102.98971085858153
54.25000000000001,103.20983184971283
54.5,103.49857219040723
54.75000000000001,103.77247785296021
55.0,103.98962603026393
55.25,104.20888590526886
55.50000000000001,104.43416133433715
55.75,104.65681548874869
56.00000000000001,104.89454939228028
56.25,105.16090366971298
56.5,105.45192222020427
56.75000000000001,105.74501129497315
57.0,106.03989963427188
57.25000000000001,106.34945853004729
57.5,106.66743805752554
57.75,106.9812692166388
58.00000000000001,107.28454742489237
58.25,107.5923826638379
58.50000000000001,107.92532726138057
58.75,108.28553511578338
59.0,108.65799349783424
59.25000000000001,109.02057944377026
59.5,109.36411405198356
59.75000000000001,109.69058984973793
60.0,110.00851303802307
60.25,110.33189242532183
60.50000000000001,110.67173749513728
60.75,111.03976288590422
61.00000000000001,111.41217295314306
61.25,111.75859719971618
61.5,112.05228187324747
61.75000000000001,112.21128555510086
62.0,112.28308051706068
62.25000000000001,112.3319500378692
62.5,112.42888284859782
62.75,112.59452863434694
63.00000000000001,112.79106269535339
63.25,113.03406087704883
63.50000000000001,113.2975737557714
63.75,113.53364581187816
64.0,113.71346622069416
64.25000000000001,113.8279050979483
64.5,113.90602943343384
64.75000000000001,113.98475720110218
65.0,114.078126276543
65.25,114.20636108782105
65.50000000000001,114.38788596841817
65.75,114.61376868404318
66.00000000000001,114.86227207974036
66.25,115.13461012095297
66.5,115.4172337966117
66.75000000000001,115.6345200026982
67.0,115.81762798846933
67.25000000000001,116.03608814895705
67.5,116.32852697907396
67.75,116.61897413396417
68.00000000000001,116.8576202305768
68.25,117.06856931180715
68.5,117.27772664475833
68.75,117.49130095232863
69.0,117.6916584295999
69.25,117.87247876861085
69.5,118.05170344255902
69.75,118.24281313128466
70.0,118.43854322494218
70.25,118.6241016812462
70.5,118.79029789901784
70.75,118.92606637925803
71.0,119.04248669196079
71.25,119.20946169601496
71.5,119.41371594261858
71.75,119.6074135277409
72.0,119.75071842946852
72.25,119.8233662972687
72.5,119.87724244114213
72.75,119.96930336098279
73.0,120.11460866732477
73.25,120.27301614190822
73.5,120.4282339054871
73.75,120.59186048026555
74.0,120.72314374858735
74.25,120.86606607231744
74.5,121.06687690542913
74.75,121.32596970370707
75.0,121.57422477621543
75.25,121.80938978443112
75.5,122.0402707349549
75.75,122.25082896951164
76.0,122.43627365579272
76.25,122.62745689211158
76.5,122.90304287139725
76.75,123.17803864427333
77.0,123.32474301202734
77.25,123.4248360170082
77.5,123.52829591106382
77.75,123.6547202476645
78.0,123.82244035892592
78.25,123.9061105732722
78.5,123.93332282361524
78.75,124.00256784395577
79.0,124.12406180542968
79.25,124.28984382642864
79.5,124.48763443951117
79.75,124.70120109156545
80.0,124.9180584764556
80.25,125.12676360569583
80.5,125.33248271713535
80.75000000000001,125.54020017816816
81.0,125.75994319909654
81.25,125.98467340726427
81.5,126.19791356997268
81.75,126.41139336069682
82.00000000000001,126.63659654345469
82.25,126.86488053121815
82.5,127.08804052241555
82.75,127.31245291758125
83.0,127.53471089649872
83.25000000000001,127.73816199427483
83.5,127.93090443637504
83.75,128.15082704639667
84.0,128.4062685507322
84.25,128.69406847245472
84.50000000000001,129.0335252282723
84.75,129.39273469486778
85.0,129.7483246832008
85.25,130.07717347363337
85.5,130.38486801583224
85.75000000000001,130.68970869022894
86.0,130.99865418948463
86.25,131.31596948265206
86.5,131.66065086635382
86.75,131.98235435369577
87.00000000000001,132.31265058244605
87.25,132.51251509146903
87.5,132.6575052462863
87.75,132.79653932673443
88.0,132.9542607690118
88.25000000000001,133.15577552256076
88.5,133.42148429277057
88.75,133.71077552692964
89.0,133.99503343517335
89.25,134.25837310375704
89.50000000000001,134.46219325191794
89.75,134.61625479642834
90.0,134.75236244889322
90.25,134.9012895811304
90.5,135.07225531876912
90.75000000000001,135.25235654505383
91.0,135.43197582423443
91.25,135.6183374322652
91.5,135.8065391779984
91.75,135.98645611762515
92.00000000000001,136.16150292985242
92.25,136.32955641525638
92.5,136.4803191951168
92.75,136.61511666787976
93.0,136.74625308993626
93.25000000000001,136.87636140374718
93.5,137.00200753166797
93.75,137.12369367166713
94.0,137.23841311403078
94.25,137.34304573311402
94.50000000000001,137.44864132744596
94.75,137.57164617684685
95.0,137.71265033546342
95.25,137.8589965376085
95.5,138.00494535685664
95.75000000000001,138.14761959593244
96.00000000000001,138.27785283587963
96.25,138.3983897649024
96.5,138.52390968396236
96.75,138.63277995955258
97.00000000000001,138.7568504734503
97.25000000000001,138.88375155168944
97.5,138.95790722836148
97.75,139.0153334043123
98.0,139.11308175842242
98.25000000000001,139.25528602912453
98.50000000000001,139.32908989548332
98.75,139.3762138192451
99.0,139.4297125794455
99.25,139.50184623448524
99.50000000000001,139.60919478663033
99.75000000000001,139.76713295132532
